dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw,fold
bank_marketing,msbm,0.18571350495828925,0.2931308722171165,0.40717773708902066,0.009371358718386569,,,,,55.58844494819641,0.8040462371031115,0.5940667419421359,26.115350768571243,0.20997949516097558,3
bank_marketing,msbm,0.18407101294650904,0.25733169678353,0.22120375890268304,0.00975661502660774,,,,,55.53882837295532,0.803034238017194,0.6216162544891517,22.59156271792211,0.18141798352804228,4
bank_marketing,msbm,0.18500023784030656,0.29919358319685574,0.2809859739235142,0.009403785207772564,,,,,55.75151696205139,0.7974326499610311,0.6077002718346473,23.778936172179186,0.18973237812638405,mean
online_shoppers,msbm,0.24655944656492862,0.6803545399225449,1.3558918983330785,0.024260709425753202,,,,,32.0635769367218,0.7919176262942939,0.43168272953425924,45.48893531335082,0.3602348967600346,0
online_shoppers,msbm,0.25557675388638335,0.743077178182475,1.2742688321719509,0.02529753192395301,,,,,31.91703510284424,0.8142889353442455,0.40389121776554227,50.39952033797501,0.41039771757870325,1
online_shoppers,msbm,0.24570172682969582,0.7563915834921981,1.356158563514818,0.023048863977695344,,,,,31.995983600616455,0.8040500272437511,0.370600464899447,53.90828277565646,0.4334495623443041,2
online_shoppers,msbm,0.22615925475329376,0.6981588738421278,1.3369696213168365,0.01930337825561279,,,,,31.92008328437805,0.7877654635527926,0.4033703251163663,48.79563223079351,0.38439513843642636,3
online_shoppers,msbm,0.24285167583035375,0.7997289084484869,1.2829088840483438,0.023500903406028617,,,,,31.911550998687744,0.810629752583876,0.4366515140173566,46.13428477976126,0.37397823856651946,4
online_shoppers,msbm,0.24336977157293105,0.7355422167775666,1.3212395598770057,0.023082277397808593,,,,,31.961645984649657,0.8017303610037917,0.4092392502665943,48.94533108750741,0.3924911107371976,mean
covertype,msbm,0.15852992771672608,0.12419353304830831,1.3813102594785345,0.012765086895003552,,,,,875.5843422412872,0.7693598010556932,0.4601464710068872,40.19099121432033,0.309213330048806,0
