dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw
Real Estate,msbm,0.24867848767002454,0.8080888288723892,2.214456746011957,0.04632242817209781,0.032962640604551785,0.0,,,1.406733512878418,,,,,2,0.6982035423964217,-0.18465998309342435,-126.44787255871286,-0.882863525489846
Real Estate,msbm,0.26968460727095916,1.074796554994521,2.1680203548096806,0.044582510963280975,0.09468185614763748,0.0,,,1.374373435974121,,,,,3,0.5530337692079685,-0.1000055390811807,-118.08308003043004,-0.6530393082891492
Real Estate,msbm,0.30248568126886827,1.0597246798011624,1.9973479592680203,0.05203360843843596,0.11418556834144485,0.0,,,1.3623547554016113,,,,,4,0.6907298712807035,-0.16963140284576106,-124.55828391079167,-0.8603612741264646
Real Estate,msbm,0.2679295707891784,1.0009624004822721,2.1142727491983995,0.047787917737381044,0.11567537530407432,0.0,,,1.3995283603668214,,,,,mean,0.6734314375384614,-0.1561429085625993,-123.08556798515909,-0.8295743461010607
Stroke Prediction,msbm,0.2265821025264373,0.280734356593173,0.6215896467012593,0.02702490675104474,0.0043777814193927496,0.25552648451582144,0.030981898804602438,0.25407394659321725,27.037659406661987,0.5125842887062213,0.4888079125455492,-4.638530029994568,-0.02377637616067213,0,,,,
Stroke Prediction,msbm,0.2000490791081074,0.26283491918650675,0.6332640819575467,0.023876375156439922,0.0019971298441895666,0.23311615732644916,0.015906676301956593,0.1982107330481319,27.102075815200806,0.5117897727272728,0.4888079125455492,-4.490488361902141,-0.0229818601817236,1,,,,
Stroke Prediction,msbm,0.20343089398263794,0.256477312363843,0.7116479679652338,0.02578997053576293,0.0019471595079895918,0.3585345731937043,0.01575626989220575,0.23942886204324973,26.000757217407227,0.4880083420229406,0.4890738813735692,0.21834449513950155,0.0010655393506286415,2,,,,
Stroke Prediction,msbm,0.20056695635045166,0.2845666207371565,0.565229874849212,0.020033591072339596,0.008028487547138904,0.1673639743121221,0.030334896553170287,0.16519658483926922,25.894748210906982,0.5095395065428029,0.4890738813735692,-4.016494286790792,-0.02046562516923367,3,,,,
Stroke Prediction,msbm,0.19055356033600587,0.25817874461067936,0.6492176529673441,0.022979793261331816,0.0075552768328748824,0.2639956264546987,0.015265536855764131,0.2054634156400694,25.987311840057373,0.4887962480458572,0.4890625,0.05447094882729881,0.00026625195414281544,4,,,,
Stroke Prediction,msbm,0.20423651846072804,0.2685583906982717,0.6361898448881191,0.0239409273553838,0.004781167030317139,0.25570736316055914,0.02164905568153984,0.2124747084327875,26.404510498046875,0.502143631609019,0.48896521756764744,-2.57453944694414,-0.01317841404137159,mean,,,,
Palmer Penguins,msbm,0.17936337875858285,0.6293868591376274,2.847414188504896,0.07537271448132815,,,0.21370855872391653,0.9575549130560752,0.9553451538085938,0.9818063677712799,0.4530017785831739,-53.860374769059916,-0.528804589188106,0,,,,
Palmer Penguins,msbm,0.20433232648458977,0.5588079905853875,2.9834320164096444,0.07633810572446026,,,0.16574517846706316,1.0444389833007115,0.9606575965881348,1.0,0.6083877995642702,-39.161220043572975,-0.39161220043572975,1,,,,
Palmer Penguins,msbm,0.1585204447104023,0.7228334013178146,2.964353215528156,0.07505723994344393,,,0.1599890948248633,0.9569182375452916,0.924891471862793,1.0,0.6794131794131794,-32.058682058682066,-0.32058682058682064,2,,,,
Palmer Penguins,msbm,0.19337185358313416,0.6822419677830144,2.966684659408728,0.07512389701669092,,,0.3357825252898675,0.8533480190898993,0.9277615547180176,0.9815937149270483,0.39601921757035,-59.655485609972345,-0.5855744973566983,3,,,,
Palmer Penguins,msbm,0.19584768837380295,0.7968716555067403,2.9199739819598065,0.08630366080190627,,,0.47021511361561147,0.9523397398047687,0.9084646701812744,0.9638447971781305,0.317234262125903,-67.08658250221647,-0.6466105350522275,4,,,,
Palmer Penguins,msbm,0.1862871383821024,0.6780283748661169,2.936371612362246,0.07763912359356591,,,0.2690880941842644,0.9529199785593493,0.9354240894317627,0.9854489759752918,0.4908112474513754,-50.36446899670075,-0.4946377285239164,mean,,,,
